IIEF (GE Foundation)-Beasiswa Voucher Makan Sistem RFID-PPA,1
IIEF (GE Foundation)-BBM-IOM ITB (Biaya Hidup),1
IIEF (GE Foundation),2
IA ITB?78-Yayasan Komatsu Indonesia Peduli-IOM ITB (SPP),1
IA ITB?78-Yayasan Komatsu Indonesia Peduli-Beasiswa Voucher Makan Sistem RFID,1
IA ITB?78-Wardah Pemberdayaan Ekonomi (WARDAYA)-Wardah Prestasi (WAPRES),1
IA ITB?78-Wardah Pemberdayaan Ekonomi (WARDAYA)-IOM ITB (SPP),1
IA ITB?78-Wardah Pemberdayaan Ekonomi (WARDAYA)-BUMN,2
IA ITB?78-Wardah Pemberdayaan Ekonomi (WARDAYA)-Beasiswa Voucher Makan Sistem RFID,1
IA ITB?78-PPA-IOM ITB (SPP),1
IA ITB?78-PPA-BUMN,4
IA ITB?78-PPA-Beasiswa Voucher Makan Sistem RFID,2
IA ITB?78-PPA-BBM,8
IA ITB?78-IOM ITB (Tugas Akhir)-IOM ITB (Biaya Hidup),1
